id,quantity,price,name,datetime
1,2,0.8,Plain Papadum,2019-08-03 20:25:00
2,1,12.95,King Prawn Balti,2019-08-03 20:25:00
3,1,2.95,Garlic Naan,2019-08-03 20:25:00
4,1,3.95,Mushroom Rice,2019-08-03 20:25:00
5,1,8.95,Paneer Tikka Masala,2019-08-03 20:25:00
6,1,0.5,Mango Chutney,2019-08-03 20:25:00
7,1,2.6,Plain Naan,2019-08-03 20:17:00
8,1,3.95,Mushroom Rice,2019-08-03 20:17:00
9,1,4.95,Tandoori Chicken (1/4),2019-08-03 20:17:00
10,1,7.95,Vindaloo - Lamb,2019-08-03 20:17:00
11,1,1.95,Chapati,2019-08-03 20:17:00
12,1,4.95,Lamb Tikka,2019-08-03 20:17:00
13,1,5.95,Saag Paneer,2019-08-03 20:17:00
14,1,4.95,Aloo Chaat,2019-08-03 20:09:00
15,1,5.95,Chicken Pakora,2019-08-03 20:09:00
16,1,9.95,Chicken Chilli Garlic,2019-08-03 20:09:00
17,1,9.95,Lamb Biryani,2019-08-03 20:09:00
18,1,2.95,Keema Naan,2019-08-03 20:09:00
19,1,5.95,Chicken Pakora,2019-08-03 20:01:00
20,1,0.8,Plain Papadum,2019-08-03 20:01:00
21,1,0.5,Mango Chutney,2019-08-03 20:01:00
22,1,0.5,Red Sauce,2019-08-03 20:01:00
23,1,9.95,Korma - Prawn,2019-08-03 20:01:00
24,1,2.95,Peshwari Naan,2019-08-03 20:01:00
25,1,2.95,Pilau Rice,2019-08-03 20:01:00
26,1,9.95,Chicken Balti,2019-08-03 19:44:00
27,2,3.95,Special Fried Rice,2019-08-03 19:44:00
28,1,8.95,Chicken Tikka Masala,2019-08-03 19:42:00
29,1,7.95,Curry - Lamb,2019-08-03 19:42:00
30,1,2.95,Pilau Rice,2019-08-03 19:42:00
31,1,2.95,Peshwari Naan,2019-08-03 19:42:00
32,1,0.8,Plain Papadum,2019-08-03 19:42:00
33,2,0.8,Plain Papadum,2019-08-03 19:41:00
34,1,3.95,Vegetable Rice,2019-08-03 19:41:00
35,1,9.95,Saag - Prawn,2019-08-03 19:41:00
36,1,8.95,Tandoori Chicken Masala,2019-08-03 19:41:00
37,1,2.95,Pilau Rice,2019-08-03 19:29:00
38,1,8.95,Lamb Tikka Chilli Masala,2019-08-03 19:29:00
39,1,2.95,Peshwari Naan,2019-08-03 19:29:00
40,1,5.95,Saag Aloo,2019-08-03 19:29:00
41,1,5.95,Aloo Gobi,2019-08-03 19:28:00
42,1,5.95,Bhindi Bhajee,2019-08-03 19:28:00
43,1,5.95,Saag Paneer,2019-08-03 19:28:00
44,2,0.5,Mint Sauce,2019-08-03 19:28:00
45,1,9.95,Chicken Biryani,2019-08-03 19:28:00
46,1,2.95,Garlic Naan,2019-08-03 19:28:00
47,1,2.6,Plain Naan,2019-08-03 19:28:00
48,1,8.95,Tandoori Chicken Masala,2019-08-03 19:28:00
49,4,0.8,Plain Papadum,2019-08-03 19:26:00
50,2,0.5,Red Sauce,2019-08-03 19:26:00
51,1,8.95,Chicken Tikka Masala,2019-08-03 19:26:00
52,1,7.95,Madras - Chicken Tikka,2019-08-03 19:26:00
53,2,3.95,Mushroom Rice,2019-08-03 19:26:00
54,1,2.95,Garlic Naan,2019-08-03 19:26:00
55,1,5.95,Bombay Aloo,2019-08-03 19:26:00
56,1,3.95,Onion Bhajee,2019-08-03 19:25:00
57,1,4.95,Sheek Kebab,2019-08-03 19:25:00
58,8,0.8,Plain Papadum,2019-08-03 19:25:00
59,2,0.5,Mango Chutney,2019-08-03 19:25:00
60,2,0.5,Mint Sauce,2019-08-03 19:25:00
61,1,0.5,Onion Chutney,2019-08-03 19:25:00
62,1,8.95,Chicken Tikka (Main),2019-08-03 19:25:00
63,1,8.95,Korma - Chicken,2019-08-03 19:25:00
64,1,8.95,Chicken Tikka Masala,2019-08-03 19:25:00
65,1,2.95,Plain Rice,2019-08-03 19:25:00
66,1,2.95,Pilau Rice,2019-08-03 19:25:00
67,2,2.95,Keema Naan,2019-08-03 19:25:00
68,1,3.95,French Fries,2019-08-03 19:25:00
69,1,9.95,Chicken Biryani,2019-08-03 19:25:00
70,1,3.95,Mushroom Rice,2019-08-03 19:25:00
71,1,3.95,Onion Bhajee,2019-08-03 19:16:00
72,1,8.95,Korma - Chicken,2019-08-03 19:16:00
73,1,2.95,Peshwari Naan,2019-08-03 19:16:00
74,1,2.95,Pilau Rice,2019-08-03 19:16:00
75,1,8.95,Chicken Tikka (Main),2019-08-03 18:37:00
76,1,8.95,Chicken Tikka Masala,2019-08-03 18:37:00
77,1,3.95,Meat Samosa,2019-08-03 18:37:00
78,2,0.8,Plain Papadum,2019-08-03 18:36:00
79,1,0.5,Mango Chutney,2019-08-03 18:36:00
80,1,0.5,Mint Sauce,2019-08-03 18:36:00
81,1,0.5,Red Sauce,2019-08-03 18:36:00
82,1,3.95,Keema Rice,2019-08-03 18:36:00
83,1,2.95,Keema Naan,2019-08-03 18:36:00
84,1,9.95,Chicken Chilli Garlic,2019-08-03 18:36:00
85,1,9.95,Lamb Hari Mirch,2019-08-03 18:36:00
86,1,5.95,Mushroom Bhajee,2019-08-03 18:36:00
87,1,7.95,Curry - Chicken,2019-08-03 18:36:00
88,1,5.95,Bombay Aloo,2019-08-03 18:36:00
89,1,2.6,Plain Naan,2019-08-03 18:36:00
90,1,3.95,Vegetable Rice,2019-08-03 18:36:00
91,1,10.95,Chicken Tikka Biryani,2019-08-03 18:34:00
92,1,5.95,Mixed Starter,2019-08-03 18:34:00
93,1,3.95,Onion Bhajee,2019-08-03 18:32:00
94,1,10.95,Chicken Tikka Biryani,2019-08-03 18:32:00
95,1,8.95,Bhuna - Chicken Tikka,2019-08-03 18:32:00
96,1,3.95,Mushroom Rice,2019-08-03 18:32:00
97,1,3.95,Keema Rice,2019-08-03 18:12:00
98,1,7.95,Madras - Lamb,2019-08-03 18:12:00
99,1,5.95,Bombay Aloo,2019-08-03 18:12:00
100,1,3.95,Masala Sauce,2019-08-03 18:00:00
101,1,3.95,Mushroom Rice,2019-08-03 18:00:00
102,1,2.95,Bottle Coke,2019-08-03 18:00:00
103,1,2.95,Peshwari Naan,2019-08-03 18:00:00
104,2,11.95,Tandoori Mixed Grill,2019-08-03 18:00:00
105,3,0.8,Plain Papadum,2019-08-03 18:00:00
106,1,0.5,Mint Sauce,2019-08-03 18:00:00
107,1,0.5,Mango Chutney,2019-08-03 18:00:00
108,1,3.95,Korma Sauce,2019-08-03 18:00:00
109,1,9.95,Pathia - Prawn,2019-08-03 17:58:00
110,1,9.95,Chicken Biryani,2019-08-03 17:58:00
111,2,2.95,Peshwari Naan,2019-08-03 17:58:00
112,1,0.8,Plain Papadum,2019-08-03 17:58:00
113,1,0.5,Mint Sauce,2019-08-03 17:58:00
114,1,8.95,Chicken Tikka Jalfrezi,2019-08-03 17:57:00
115,1,8.95,Bhuna - Lamb,2019-08-03 17:57:00
116,2,3.95,Special Fried Rice,2019-08-03 17:57:00
117,1,2.95,Peshwari Naan,2019-08-03 17:57:00
118,1,5.95,Aloo Gobi,2019-08-03 17:57:00
119,1,8.95,Chicken Tikka Masala,2019-08-03 17:57:00
120,1,3.95,Meat Samosa,2019-08-03 17:52:00
121,1,5.95,Mixed Vegetable Curry,2019-08-03 17:52:00
122,1,8.95,Dupiaza - Lamb,2019-08-03 17:52:00
123,1,3.95,Lemon Rice,2019-08-03 17:52:00
124,1,8.95,Methi - Lamb,2019-08-03 17:52:00
125,1,2.95,Pilau Rice,2019-08-03 17:52:00
126,1,2.95,Garlic Naan,2019-08-03 17:52:00
127,1,3.95,Onion Bhajee,2019-08-03 17:52:00
128,1,0.8,Spicy Papadum,2019-08-03 17:52:00
129,1,2.6,Plain Naan,2019-08-03 17:18:00
130,1,2.95,Pilau Rice,2019-08-03 17:18:00
131,1,8.95,Chicken Tikka Masala,2019-08-03 17:18:00
132,1,8.95,Bhuna - Lamb,2019-08-03 17:18:00
133,2,0.8,Plain Papadum,2019-08-03 17:18:00
134,1,9.95,Lamb Biryani,2019-08-03 16:21:00
135,2,2.6,Plain Naan,2019-08-03 16:21:00
136,1,4.95,Lamb Tikka,2019-08-02 20:23:00
137,1,3.95,Onion Bhajee,2019-08-02 20:23:00
138,1,5.95,Saag Paneer,2019-08-02 20:23:00
139,1,8.95,Chicken Tikka Masala,2019-08-02 20:23:00
140,1,3.95,Keema Rice,2019-08-02 20:23:00
141,1,8.95,Rogon - Lamb,2019-08-02 20:23:00
142,1,9.95,Chicken Tikka Karahi,2019-08-02 20:23:00
143,1,2.95,Pilau Rice,2019-08-02 20:23:00
144,1,5.95,Bombay Aloo,2019-08-02 20:23:00
145,1,3.95,Onion Bhajee,2019-08-02 20:18:00
146,1,3.95,French Fries,2019-08-02 20:18:00
147,1,8.95,Chicken Tikka Masala,2019-08-02 20:18:00
148,1,8.95,Korma - Chicken,2019-08-02 20:18:00
149,1,2.6,Plain Naan,2019-08-02 20:18:00
150,1,2.95,Pilau Rice,2019-08-02 20:18:00
151,1,4.95,Aloo Chaat,2019-08-02 19:33:00
152,1,8.95,Chicken Tikka Masala,2019-08-02 19:33:00
153,1,2.95,Garlic Naan,2019-08-02 19:33:00
154,1,2.95,Pilau Rice,2019-08-02 19:33:00
155,1,8.95,Bhuna - Chicken,2019-08-02 19:33:00
156,3,0.8,Plain Papadum,2019-08-02 19:19:00
157,1,3.95,Lemon Rice,2019-08-02 19:19:00
158,1,9.95,Lamb Mysore,2019-08-02 19:19:00
159,1,8.95,Dhansak - Chicken,2019-08-02 19:19:00
160,1,1.95,Chapati,2019-08-02 19:19:00
161,2,9.95,Lamb Biryani,2019-08-02 19:14:00
162,1,2.95,Peshwari Naan,2019-08-02 19:14:00
163,1,3.95,Onion Bhajee,2019-08-02 18:41:00
164,1,5.95,Aloo Gobi,2019-08-02 18:41:00
165,1,9.95,Chicken Biryani,2019-08-02 18:41:00
166,1,7.95,Madras - Chicken,2019-08-02 18:41:00
167,1,8.95,Korma - Chicken,2019-08-02 18:41:00
168,1,9.95,Chicken Balti,2019-08-02 18:41:00
169,1,8.95,Chicken Tikka Chilli Masala,2019-08-02 18:41:00
170,1,9.95,Lal Mirch Chicken,2019-08-02 18:41:00
171,1,9.95,Korma - Prawn,2019-08-02 18:41:00
172,1,12.95,Korma - King Prawn,2019-08-02 18:41:00
173,1,2.95,Plain Rice,2019-08-02 18:41:00
174,2,3.95,Mushroom Rice,2019-08-02 18:41:00
175,1,2.95,Garlic Naan,2019-08-02 18:41:00
176,1,2.95,Keema Naan,2019-08-02 18:41:00
177,1,2.95,Peshwari Naan,2019-08-02 18:41:00
178,10,0.8,Plain Papadum,2019-08-02 18:41:00
179,2,0.8,Spicy Papadum,2019-08-02 18:41:00
180,2,0.5,Mango Chutney,2019-08-02 18:41:00
181,6,0.5,Onion Chutney,2019-08-02 18:41:00
182,4,0.5,Red Sauce,2019-08-02 18:41:00
183,2,0.5,Mint Sauce,2019-08-02 18:41:00
184,1,7.95,Vindaloo - Chicken,2019-08-02 18:18:00
185,1,7.95,Madras - Chicken Tikka,2019-08-02 18:18:00
186,2,2.95,Plain Rice,2019-08-02 18:18:00
187,2,2.6,Plain Naan,2019-08-02 18:18:00
188,1,7.95,Madras - Chicken,2019-08-02 18:18:00
189,4,0.8,Plain Papadum,2019-08-02 18:18:00
190,1,5.95,Bombay Aloo,2019-08-02 18:18:00
191,1,8.95,Chicken Tikka Jalfrezi,2019-08-02 17:57:00
192,1,2.95,Pilau Rice,2019-08-02 17:57:00
193,2,0.8,Plain Papadum,2019-08-02 17:57:00
194,1,0.8,Spicy Papadum,2019-08-02 17:57:00
195,1,3.95,Vindaloo Sauce,2019-08-02 17:57:00
196,1,3.95,Onion Bhajee,2019-08-02 17:43:00
197,1,0.5,Mango Chutney,2019-08-02 17:43:00
198,1,3.95,Meat Samosa,2019-08-02 17:43:00
199,1,5.95,Chicken Pakora,2019-08-02 17:43:00
200,1,9.95,Lamb Biryani,2019-08-02 17:43:00
